SN,BT,WH,RV,LA,LO,AD
Lindenbaum,DIE SCHÄCHLI Baugenossenschaft Dietikon,,Zürich,47.4087086,8.3954817,Bleicherstrasse 44 <br>8953 Dietikon
,Siedlungs- und Baugenossenschaft Dübendorf (SBD),,Zürich,47.3885154,8.6304914,Hermikonstrasse 1 <br>8600 Dübendorf
,Siedlungs- und Baugenossenschaft Dübendorf (SBD),,Zürich,47.3885154,8.6304914,Hermikonstrasse 10 <br>8600 Dübendorf
,Siedlungsgenossenschaft Sunneheim,,Zürich,47.2539439,8.6006314,Sennhüttenstrasse  <br>8810 Horgen
,Siedlungsgenossenschaft Sunneheim,,Zürich,47.2556861,8.6006625,Steinbruchstrasse  <br>8810 Horgen
,Siedlungsgenossenschaft Sunneheim,,Zürich,47.2517386,8.598432,Stotzweidweg  <br>8810 Horgen
Unterfeld,Baugenossenschaft Zürichsee,,Zürich,47.3121113,8.5850146,Unterfeldstrasse 14 <br>8700 Küsnacht
Alte Riedikerstr.,Wohn- und Siedlungsgenossenschaft Uster (WSGU),,Zürich,47.3433921,8.6995206,Alte Riedikerstrasse 2a <br>8610 Uster
Alte Riedikerstr.,Wohn- und Siedlungsgenossenschaft Uster (WSGU),,Zürich,47.3433921,8.6995206,Alte Riedikerstrasse 2b <br>8610 Uster
Stöckli 1,Baugenossenschaft Uetikon am See,,Zürich,47.2630356,8.6819014,Kleindorfstrasse 18 <br>8707 Uetikon am See
Feld,Wohnbaugenossenschaft Gewo Züri Ost,,Zürich,47.3258967,8.8044156,Bachtelstrasse 22 <br>8623 Wetzikon ZH
Feld,Wohnbaugenossenschaft Gewo Züri Ost,,Zürich,47.3257762,8.8047168,Bachtelstrasse 24 <br>8623 Wetzikon ZH
"Hohlstr. 1 (Wydenstr. 3-9, Herm.-Greulich-Str. 66)",Baugenossenschaft der Strassenbahner Zürich,,Zürich,47.3789686,8.5211647,Wydenstrasse 7 <br>8004 Zürich
"Hohlstr. 1 (Wydenstr. 3-9, Herm.-Greulich-Str. 66)",Baugenossenschaft der Strassenbahner Zürich,,Zürich,47.3789973,8.5209799,Wydenstrasse 9 <br>8004 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4203888,8.5007693,Bächlerweg 1 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4204085,8.5006993,Bächlerweg 3 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4207658,8.5011006,Furttalstrasse 23 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.420668,8.5009794,Furttalstrasse 27 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4209491,8.5007332,Furttalstrasse 31 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4208331,8.5006248,Furttalstrasse 35 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4210069,8.5003102,Furttalstrasse 43 <br>8046 Zürich
Furttal 1,Baugenossenschaft Waidmatt,,Zürich,47.4209001,8.5001888,Furttalstrasse 47 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4211714,8.5000352,Furttalstrasse 51 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4210734,8.4999272,Furttalstrasse 55 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4212468,8.4996523,Furttalstrasse 63 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4211932,8.4996115,Furttalstrasse 65 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4211399,8.4995442,Furttalstrasse 67 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4214289,8.4994174,Furttalstrasse 69 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4213754,8.4993633,Furttalstrasse 71 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4213219,8.4993092,Furttalstrasse 73 <br>8046 Zürich
Furttal ,Baugenossenschaft Waidmatt,,Zürich,47.4212686,8.4992419,Furttalstrasse 75 <br>8046 Zürich
. Et. (Langhagweg 1-7),Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.3754175,8.4968259,Langhagweg 1 <br>8047 Zürich
. Et. (Langhagweg 1-7),Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.3752804,8.4971497,Langhagweg 3 <br>8047 Zürich
. Et. (Langhagweg 1-7),Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.3751433,8.4974736,Langhagweg 5 <br>8047 Zürich
. Et. (Langhagweg 1-7),Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.3750061,8.4977974,Langhagweg 7 <br>8047 Zürich
3. Et. (Sackzelg 26-49),Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.37543,8.4983549,Sackzelg 26 <br>8047 Zürich
Seebach,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.4227184,8.5504354,Glattalstrasse 1 <br>8052 Zürich
Seebach,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.4227184,8.5504354,Glattalstrasse 3 <br>8052 Zürich
Seebach,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.4227184,8.5504354,Glattalstrasse 7 <br>8052 Zürich
Hirzenbach,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.4058212,8.5864995,Hirzenbachstrasse 87 <br>8051 Zürich
Seefeldstrasse,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.3626838,8.5499596,Seefeldstrasse 48 <br>8008 Zürich
Seefeldstrasse,Stiftung Alterswohnungen der Stadt Zürich (SAW),,Zürich,47.362433,8.5498485,Seefeldstrasse 54 <br>8008 Zürich
,Stiftung zur Erhaltung von preisg. Wohn- und Gewerberäumen der Stadt Zürich,,Zürich,47.3742095,8.4824736,Albisriederstrasse 398 <br>8047 Zürich
,Stiftung zur Erhaltung von preisg. Wohn- und Gewerberäumen der Stadt Zürich,,Zürich,47.4097126,8.5408271,Hofwiesenstrasse 176 <br>8050 Zürich
Accademia,Fondazione dell'Accademia,18,,45.863277,8.977794,Via Agostino Maspoli  <br>6850 Mendrisio
Alloggi Ticino,Alloggi Ticino SA,9,Tessin,46.1563005,8.9836056,Via Pedemontana 27 <br>6592 S.Antonino
Alloggi Ticino,Alloggi Ticino SA,9,Tessin,46.1563005,8.9836056,Via Pedemontana 27 <br>6592 S.Antonino
