SN,BT,WH,RV,LA,LO,AD
"Seebach (Birch-, Glatttal-, Honigstr., Bühnrain)",Baugenossenschaft Linth-Escher,,Zürich,47.4263523,8.5451515,Honigstrasse 50 <br>8052 Zürich
Leimbach (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.3347053,8.5190491,Leimbachstrasse 40 <br>8041 Zürich
Leimbach (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.3344712,8.5190708,Leimbachstrasse 42 <br>8041 Zürich
Leimbach (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.3342377,8.5190264,Leimbachstrasse 44 <br>8041 Zürich
Oerlikon (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.4015296,8.5494584,Probusweg 20 <br>8057 Zürich
Oerlikon (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.4013852,8.5495083,Probusweg 22 <br>8057 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3348402,8.5180859,Rebenstrasse 5 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3345006,8.5178541,Rebenstrasse 15 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3345639,8.5178157,Rebenstrasse 17 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3346092,8.5177769,Rebenstrasse 19 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3346635,8.5177383,Rebenstrasse 21 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3347178,8.5177129,Rebenstrasse 23 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3343872,8.5174681,Rebenstrasse 25 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3344416,8.5174295,Rebenstrasse 27 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3345049,8.5173911,Rebenstrasse 29 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3345502,8.5173523,Rebenstrasse 31 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3346044,8.5173269,Rebenstrasse 33 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3343101,8.5170563,Rebenstrasse 35 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3343643,8.5170309,Rebenstrasse 37 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3344187,8.5169924,Rebenstrasse 39 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.334473,8.5169538,Rebenstrasse 41 <br>8041 Zürich
Bruderwies 1+,Baugenossenschaft Linth-Escher,,Zürich,47.3345273,8.5169152,Rebenstrasse 43 <br>8041 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4266509,8.5355214,Riedenholzstrasse 12 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4268926,8.5356457,Riedenholzstrasse 14 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4270985,8.5357427,Riedenholzstrasse 16 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4273048,8.5358132,Riedenholzstrasse 18 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4275202,8.5358574,Riedenholzstrasse 20 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4269423,8.535143,Riedenholzstrasse 22 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4271661,8.5352537,Riedenholzstrasse 24 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4273737,8.5351784,Riedenholzstrasse 26 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4275715,8.5351957,Riedenholzstrasse 28 <br>8052 Zürich
Stählimatt (Linth-Escher / Schönau),Baugenossenschaft Linth-Escher,,Zürich,47.4277962,8.5352136,Riedenholzstrasse 30 <br>8052 Zürich
Oerlikon (Linth-Escher),Baugenossenschaft Linth-Escher,,Zürich,47.4010397,8.5489579,Winterthurerstrasse 247 <br>8057 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373613,8.5168666,Zwirnerhalde 1 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373531,8.5167738,Zwirnerhalde 3 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373449,8.5166942,Zwirnerhalde 5 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373276,8.5166145,Zwirnerhalde 7 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373104,8.5165347,Zwirnerhalde 9 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3372931,8.516455,Zwirnerhalde 11 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3374681,8.5160219,Zwirnerhalde 18 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3374229,8.5160474,Zwirnerhalde 20 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373687,8.5160728,Zwirnerhalde 22 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373146,8.5160849,Zwirnerhalde 24 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3372692,8.5161237,Zwirnerhalde 26 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.337215,8.5161491,Zwirnerhalde 28 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3371787,8.516188,Zwirnerhalde 30 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3371245,8.5162134,Zwirnerhalde 32 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 04),Baugenossenschaft Linth-Escher,,Zürich,47.3369758,8.5157605,Zwirnerhalde 34 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 04),Baugenossenschaft Linth-Escher,,Zürich,47.336938,8.5159582,Zwirnerhalde 36 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 04),Baugenossenschaft Linth-Escher,,Zürich,47.336882,8.5161688,Zwirnerhalde 38 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 04),Baugenossenschaft Linth-Escher,,Zürich,47.336679,8.5157545,Zwirnerhalde 42 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 04),Baugenossenschaft Linth-Escher,,Zürich,47.3366223,8.5160445,Zwirnerhalde 44 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376671,8.5159068,Zwirnerstrasse 200 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376752,8.5159996,Zwirnerstrasse 202 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376834,8.5160791,Zwirnerstrasse 204 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376276,8.5162765,Zwirnerstrasse 206 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376358,8.5163693,Zwirnerstrasse 208 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376531,8.5164358,Zwirnerstrasse 210 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376614,8.5165154,Zwirnerstrasse 212 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376876,8.5165953,Zwirnerstrasse 214 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3376957,8.5166881,Zwirnerstrasse 216 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3375475,8.5171482,Zwirnerstrasse 239 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3375019,8.5172135,Zwirnerstrasse 241 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3374479,8.5172256,Zwirnerstrasse 243 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3373936,8.517251,Zwirnerstrasse 245 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3366188,8.5164281,Zwirnerstrasse 280 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3365823,8.5164803,Zwirnerstrasse 282 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3365368,8.5165323,Zwirnerstrasse 284 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3365002,8.5165978,Zwirnerstrasse 286 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3364636,8.5166632,Zwirnerstrasse 288 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3364529,8.5168482,Zwirnerstrasse 290 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3364162,8.5169269,Zwirnerstrasse 292 <br>8041 Zürich
Zwirnerhalde (Linth-Escher 03),Baugenossenschaft Linth-Escher,,Zürich,47.3363885,8.5170057,Zwirnerstrasse 294 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.3362525,8.517122,Zwirnerstrasse 300 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.3362093,8.5169227,Zwirnerstrasse 302 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.336176,8.5166441,Zwirnerstrasse 304 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.3361686,8.516472,Zwirnerstrasse 306 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.3362239,8.5163275,Zwirnerstrasse 308 <br>8041 Zürich
Zwirnerstr. 300-31,Baugenossenschaft Linth-Escher,,Zürich,47.3363058,8.5162233,Zwirnerstrasse 310 <br>8041 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4093471,8.5605531,Burriweg 56 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4093021,8.5605521,Burriweg 58 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.409257,8.5605644,Burriweg 60 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4092119,8.5605767,Burriweg 62 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.409167,8.5605758,Burriweg 64 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4091129,8.5605879,Burriweg 66 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4090679,8.560587,Burriweg 68 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.409014,8.5605858,Burriweg 70 <br>8050 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4071633,8.5677416,Luegislandstrasse 71 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4070424,8.5675687,Luegislandstrasse 73 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4072653,8.5674258,Luegislandstrasse 75 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4073682,8.567217,Luegislandstrasse 77 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4074043,8.5679322,Luegislandstrasse 79 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4074871,8.5677352,Luegislandstrasse 81 <br>8051 Zürich
Schaffhauserstr. (Luegisland),Baugenossenschaft Luegisland Zürich,,Zürich,47.4013586,8.5457187,Schaffhauserstrasse 216 <br>8057 Zürich
Schaffhauserstr. (Luegisland),Baugenossenschaft Luegisland Zürich,,Zürich,47.4014501,8.5455616,Schaffhauserstrasse 218 <br>8057 Zürich
Schärenmoosstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4210755,8.5523047,Schärenmoosstrasse 25 <br>8052 Zürich
Schärenmoosstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4210163,8.5519059,Schärenmoosstrasse 27 <br>8052 Zürich
Schärenmoosstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.420855,8.5518495,Schärenmoosstrasse 29 <br>8052 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4090274,8.5610499,Schörliweg 69 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4090724,8.5610508,Schörliweg 71 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4091175,8.5610385,Schörliweg 73 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4091715,8.5610397,Schörliweg 75 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4092166,8.5610274,Schörliweg 77 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4092615,8.5610283,Schörliweg 79 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4093068,8.5610028,Schörliweg 81 <br>8050 Zürich
"Burriweg, Schörliweg",Baugenossenschaft Luegisland Zürich,,Zürich,47.4093606,8.5610171,Schörliweg 83 <br>8050 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4070086,8.4926776,Segantinistrasse 135 <br>8049 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4072822,8.4922723,Segantinistrasse 141 <br>8049 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4073474,8.4920218,Segantinistrasse 143 <br>8049 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4071058,8.4918845,Segantinistrasse 145 <br>8049 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4069625,8.4918154,Segantinistrasse 147 <br>8049 Zürich
Segantinistr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4071099,8.4914341,Segantinistrasse 149 <br>8049 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.407424,8.5667668,Ueberlandstrasse 150 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4075642,8.5669244,Ueberlandstrasse 152 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4077532,8.5671976,Ueberlandstrasse 154 <br>8051 Zürich
Luegisland-/Überlandstr.,Baugenossenschaft Luegisland Zürich,,Zürich,47.4076343,8.5674071,Ueberlandstrasse 156 <br>8051 Zürich
Wuhrstr.,Baugenossenschaft Maler und Bildhauer Zürich,,Zürich,47.3667549,8.5219494,Wuhrstrasse 8 <br>8003 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4005489,8.58811,Altwiesenstrasse 270 <br>8051 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4004841,8.5882941,Altwiesenstrasse 272 <br>8051 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4004373,8.5884785,Altwiesenstrasse 274 <br>8051 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4001159,8.5884043,Dübendorfstrasse 275 <br>8051 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4000067,8.5883308,Dübendorfstrasse 277 <br>8051 Zürich
6. Et. (Altwiesenstr.),Baugenossenschaft Milchbuck,,Zürich,47.3999005,8.5881887,Dübendorfstrasse 279 <br>8051 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4202616,8.5396043,Felsberg 12 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4202951,8.5398701,Felsberg 14 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.420311,8.5400825,Felsberg 16 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4203546,8.5402292,Felsberg 18 <br>8052 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4073683,8.5743578,Glattstegweg 36 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4073035,8.5745419,Glattstegweg 38 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4072299,8.5747126,Glattstegweg 40 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4071833,8.5748706,Glattstegweg 42 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4076454,8.5745208,Heidwiesen 2 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4075976,8.5747172,Heidwiesen 4 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4075308,8.5749525,Heidwiesen 6 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4073906,8.5752781,Heidwiesen 10 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4073243,8.5754871,Heidwiesen 12 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4072672,8.5756964,Heidwiesen 14 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4071628,8.5760494,Heidwiesen 26 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4070886,8.5762731,Heidwiesen 28 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4070328,8.5764574,Heidwiesen 30 <br>8051 Zürich
4. Et. (Hirzenbach),Baugenossenschaft Milchbuck,,Zürich,47.4025105,8.5889472,Hirzenbachstrasse 28 <br>8051 Zürich
4. Et. (Hirzenbach),Baugenossenschaft Milchbuck,,Zürich,47.4027081,8.588978,Hirzenbachstrasse 30 <br>8051 Zürich
4. Et. (Hirzenbach),Baugenossenschaft Milchbuck,,Zürich,47.4028966,8.5890218,Hirzenbachstrasse 32 <br>8051 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4198297,8.5405629,Höhenring 41 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4197684,8.5403893,Höhenring 43 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4196982,8.5402023,Höhenring 45 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4200835,8.5403561,Höhenring 47 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4200402,8.5401829,Höhenring 49 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4200063,8.5399701,Höhenring 51 <br>8052 Zürich
8. Et. (Felsberg/Höhenring),Baugenossenschaft Milchbuck,,Zürich,47.4199635,8.5397439,Höhenring 53 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4224896,8.5380069,Köschenrütistrasse 3 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4226962,8.5380377,Köschenrütistrasse 5 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4229026,8.5380817,Köschenrütistrasse 7 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.42346,8.5381197,Köschenrütistrasse 11 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4236311,8.5380968,Köschenrütistrasse 13 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4238383,8.5380613,Köschenrütistrasse 15 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4235989,8.5376985,Köschenrütistrasse 17 <br>8052 Zürich
11. Et. (Heumatt I) u. 14. Et. (Heumatt II),Baugenossenschaft Milchbuck,,Zürich,47.4237791,8.5376624,Köschenrütistrasse 19 <br>8052 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4070165,8.5744563,Kreuzwiesen 5 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4069236,8.574759,Kreuzwiesen 9 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4067938,8.5751538,Kreuzwiesen 15 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4069644,8.5751839,Kreuzwiesen 17 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.407117,8.5752137,Kreuzwiesen 19 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4066548,8.5755615,Kreuzwiesen 21 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4068256,8.5755784,Kreuzwiesen 23 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4069691,8.5756212,Kreuzwiesen 25 <br>8051 Zürich
5. Et. (Riedenhaldenstr.),Baugenossenschaft Milchbuck,,Zürich,47.415799,8.5148897,Riedenhaldenstrasse 55 <br>8046 Zürich
5. Et. (Riedenhaldenstr.),Baugenossenschaft Milchbuck,,Zürich,47.4160404,8.5150403,Riedenhaldenstrasse 57 <br>8046 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4065156,8.5759794,Schürgistrasse 27 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4066956,8.5759864,Schürgistrasse 29 <br>8051 Zürich
"Michbuck 1., 2., 3., 7. Etappe",Baugenossenschaft Milchbuck,,Zürich,47.4068301,8.576029,Schürgistrasse 31 <br>8051 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4239902,8.5190845,Schwandenholzstrasse 274 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4240151,8.5193103,Schwandenholzstrasse 276 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.424013,8.5195356,Schwandenholzstrasse 278 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4242471,8.5195138,Schwandenholzstrasse 280 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4244182,8.5194908,Schwandenholzstrasse 282 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4246342,8.5194819,Schwandenholzstrasse 284 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4248233,8.5194593,Schwandenholzstrasse 286 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4248007,8.5189816,Schwandenholzstrasse 288 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4246028,8.5189909,Schwandenholzstrasse 290 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.424396,8.5189734,Schwandenholzstrasse 292 <br>8046 Zürich
15. Et. (Am Chatzebach),Baugenossenschaft Milchbuck,,Zürich,47.4242338,8.5190099,Schwandenholzstrasse 294 <br>8046 Zürich
6. Etappe (Oberstrass),Baugenossenschaft Oberstrass,,Zürich,47.3893292,8.5418166,Langmauerstrasse 20 <br>8006 Zürich
5. Etappe (Oberstrass),Baugenossenschaft Oberstrass,,Zürich,47.3895575,8.5420546,Langmauerstrasse 26 <br>8006 Zürich
5. Etappe (Oberstrass),Baugenossenschaft Oberstrass,,Zürich,47.3896981,8.5422005,Langmauerstrasse 28 <br>8006 Zürich
5. Etappe (Oberstrass),Baugenossenschaft Oberstrass,,Zürich,47.3898227,8.5423337,Langmauerstrasse 30 <br>8006 Zürich
